"class","length_kilometer"
"alley","13.92"
"crosswalk","8.41"
"driveway","19.34"
"footway","236.26"
"motorway","7.61"
"parking_aisle","107.45"
"path","35.98"
"pedestrian","2.42"
"primary","38.71"
"residential","584.44"
"secondary","23.55"
"sidewalk","36.22"
"steps","4.21"
"tertiary","178.60"
"track","65.91"
"trunk","26.32"
"unclassified","308.61"
"unknown","56.85"
