"class","length_kilometer"
"footway","280.68"
"motorway","5.44"
"motorway_link","2.17"
"path","35.02"
"pedestrian","2.45"
"primary","38.69"
"primary_link","0.02"
"residential","583.74"
"secondary","23.55"
"service","197.71"
"steps","7.70"
"tertiary","178.51"
"tertiary_link","0.02"
"track","62.82"
"trunk","24.22"
"trunk_link","2.10"
"unclassified","310.43"
