"class","length_kilometer"
"footway","12.78"
"path","53.26"
"pedestrian","0.05"
"primary","5.95"
"residential","261.91"
"secondary","24.59"
"service","59.48"
"steps","0.50"
"tertiary","35.12"
"track","102.00"
"trunk","22.82"
"unclassified","25.43"
