"class","length_kilometer"
"alley","143.63"
"bridleway","0.02"
"crosswalk","43.17"
"cycleway","10.55"
"driveway","12.77"
"footway","686.37"
"living_street","0.16"
"motorway","72.26"
"parking_aisle","15.17"
"path","34.26"
"pedestrian","27.64"
"primary","104.20"
"residential","689.98"
"secondary","131.70"
"sidewalk","348.45"
"steps","18.89"
"tertiary","233.89"
"trunk","58.90"
"unclassified","392.86"
"unknown","127.86"
