"class","length_kilometer"
"busway","0.17"
"corridor","0.11"
"cycleway","10.22"
"elevator","0.05"
"footway","1090.40"
"living_street","0.14"
"motorway","48.79"
"motorway_link","24.36"
"path","34.43"
"pedestrian","27.20"
"primary","101.69"
"primary_link","2.56"
"residential","691.48"
"road","0.13"
"secondary","129.83"
"secondary_link","1.93"
"service","298.75"
"steps","28.30"
"tertiary","231.61"
"tertiary_link","2.14"
"trunk","57.02"
"trunk_link","1.89"
"unclassified","392.26"
