"class","length_kilometer","nb_entity"
"footway","282.98","10348"
"motorway","6.64","23"
"motorway_link","2.17","16"
"path","36.88","988"
"pedestrian","2.43","41"
"primary","39.00","874"
"primary_link","0.02","2"
"residential","586.21","12868"
"secondary","23.59","661"
"service","202.42","7887"
"steps","4.19","396"
"tertiary","179.85","4207"
"tertiary_link","0.02","4"
"track","66.54","735"
"trunk","24.47","507"
"trunk_link","2.10","23"
"unclassified","310.03","4864"
