bounds,bbox,name
"MultiPolygon (((141.07765453 39.6823863, 141.07765453 39.75375112, 141.16554516 39.75375112, 141.16554516 39.6823863, 141.07765453 39.6823863)))","141.07765453,39.6823863,141.16554516,39.75375112",Morioka
"MultiPolygon (((130.68726409 32.72948989, 130.68726409 32.80174385, 130.77515472 32.80174385, 130.77515472 32.72948989, 130.68726409 32.72948989)))","130.68726409,32.72948989,130.77515472,32.80174385",Kumamoto
"MultiPolygon (((139.83398438 34.95799531, 139.83398438 35.02999637, 139.921875 35.02999637, 139.921875 34.95799531, 139.83398438 34.95799531)))","139.83398438,34.95799531, 139.921875,35.02999637",Tateyama
"MultiPolygon (((137.63671875 34.66935855, 137.63671875 34.7416125, 137.72460938 34.7416125, 137.72460938 34.66935855, 137.63671875 34.66935855)))","137.63671875,34.66935855, 137.72460938,34.7416125",Hmaamatsu
"MultiPolygon (((132.69418348 34.38622724, 132.69418348 34.45848119, 132.7820741 34.45848119, 132.7820741 34.38622724, 132.69418348 34.38622724)))","132.69418348,34.38622724, 132.7820741,34.45848119",Higashi-hiroshima
"MultiPolygon (((139.74609375 35.67514744, 139.74609375 35.74651226, 139.83398438 35.74651226, 139.83398438 35.67514744, 139.74609375 35.67514744)))","139.74609375,35.67514744,139.83398438,35.74651226",Tokyo
"MultiPolygon (((121.86359983 18.53958691, 121.86359983 46.76943247, 149.74894466 46.76943247, 149.74894466 18.53958691, 121.86359983 18.53958691)))","121.86359983,18.53958691,149.74894466,46.76943247",Japan
